major,minor,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47
s8,n1,0.2638,0.2731,0.3169,0.3407,0.3236,0.2560,0.1801,0.1119,0.1252,0.1269,0.1744,0.2592,0.2542,0.2340,0.2491,0.2664,0.3000,0.3411,0.4760,0.3896,0.3599,0.3654,0.2967,0.2117,0.1506,0.1530,0.1922,0.1711,0.1749,0.0905,0.0305,0.0162,0.0535,0.0707,0.1186,0.1580,0.1748,0.1428,0.1142,0.2144,0.1403,0.1551,0.2387,0.2468,0.1690,0.1300,0.0401,0.0430
s8,n2,0.2684,0.3055,0.3599,0.3442,0.2838,0.2252,0.1524,0.1753,0.1653,0.2218,0.2658,0.2409,0.2693,0.2923,0.2490,0.2268,0.2808,0.3228,0.4046,0.3124,0.2907,0.2284,0.1086,0.1155,0.0804,0.1006,0.1034,0.1307,0.1119,0.0826,0.0462,0.0238,0.0237,0.0559,0.0721,0.0722,0.0735,0.1422,0.0911,0.1168,0.1140,0.1785,0.2790,0.2231,0.2039,0.1155,0.0262,0.0454
s8,n3,0.2496,0.2411,0.2495,0.2390,0.1966,0.1389,0.0826,0.0767,0.0822,0.1336,0.1853,0.2326,0.2659,0.2260,0.2649,0.2188,0.2549,0.3269,0.3543,0.3583,0.3503,0.3336,0.2705,0.2641,0.2850,0.2136,0.2403,0.3166,0.2205,0.1205,0.0783,0.0298,0.0238,0.0392,0.0659,0.1185,0.1001,0.1178,0.1345,0.1185,0.1930,0.3002,0.4375,0.3907,0.4085,0.2487,0.1971,0.1790
s8,n4,0.2473,0.2290,0.2477,0.2366,0.2264,0.1889,0.1392,0.1411,0.1446,0.2138,0.2775,0.3391,0.3699,0.3552,0.2505,0.3187,0.3880,0.4603,0.5029,0.6046,0.4932,0.4555,0.3596,0.2100,0.2482,0.1909,0.2124,0.3394,0.2167,0.2555,0.1868,0.1142,0.1155,0.1440,0.2282,0.3534,0.2480,0.1828,0.1837,0.2616,0.3834,0.4133,0.5842,0.4840,0.3566,0.1648,0.1326,0.1114
s8,n5,0.2526,0.2579,0.2705,0.2777,0.2743,0.2298,0.1873,0.1774,0.1803,0.2704,0.3243,0.3308,0.4047,0.4054,0.3745,0.3458,0.4488,0.4901,0.6106,0.6551,0.5462,0.5134,0.3378,0.2714,0.3269,0.2959,0.3239,0.3217,0.1761,0.0990,0.0705,0.0453,0.0487,0.0935,0.0922,0.1579,0.1297,0.1795,0.2408,0.2307,0.2471,0.1883,0.3117,0.2989,0.2200,0.1528,0.0660,0.1262
s8,n6,0.2607,0.2635,0.2857,0.3019,0.2539,0.2269,0.1874,0.1777,0.2636,0.3675,0.3710,0.3977,0.4360,0.3938,0.4260,0.4125,0.4449,0.5094,0.5567,0.5455,0.5553,0.5104,0.4155,0.3195,0.3434,0.2535,0.2453,0.1841,0.0726,0.0265,0.0091,0.0036,0.0035,0.0163,0.0203,0.0549,0.0652,0.0494,0.0407,0.0581,0.0821,0.1130,0.2889,0.1851,0.0886,0.0295,0.0093,0.0316
s8,n7,0.2650,0.2943,0.3249,0.3699,0.3199,0.2588,0.2427,0.2101,0.2232,0.2712,0.3244,0.3621,0.4349,0.3770,0.2313,0.2572,0.3253,0.4131,0.4527,0.4697,0.3784,0.3048,0.2809,0.1406,0.1508,0.1198,0.0985,0.1850,0.1264,0.0876,0.0445,0.0093,0.0134,0.0573,0.1225,0.1871,0.1480,0.1550,0.1727,0.1842,0.3612,0.5792,0.6202,0.5254,0.5695,0.4254,0.3634,0.4095
s8,n8,0.2651,0.2860,0.3304,0.3884,0.3593,0.2942,0.2701,0.1991,0.1926,0.2600,0.3276,0.3498,0.4040,0.3952,0.3577,0.4273,0.5588,0.5294,0.5997,0.5338,0.3885,0.3260,0.2710,0.1357,0.1142,0.1052,0.0702,0.1075,0.0347,0.0267,0.0091,0.0016,0.0041,0.0187,0.0641,0.1237,0.1442,0.1119,0.1155,0.1075,0.1921,0.2538,0.3715,0.3194,0.2907,0.1900,0.1548,0.1787
s8,n9,0.2451,0.2298,0.2416,0.2835,0.2387,0.2123,0.1905,0.1541,0.1490,0.2230,0.3312,0.3775,0.4107,0.3886,0.3495,0.4117,0.4993,0.5960,0.6354,0.6680,0.5543,0.4983,0.3806,0.2455,0.1858,0.1862,0.1745,0.1858,0.1120,0.0630,0.0313,0.0153,0.0171,0.0750,0.1424,0.3307,0.2884,0.2119,0.2250,0.2291,0.2779,0.3228,0.4919,0.4749,0.3238,0.2097,0.1234,0.2311
s8,n10,0.2638,0.2831,0.3079,0.3263,0.2708,0.2497,0.2451,0.2162,0.2088,0.2558,0.3162,0.3716,0.3568,0.3102,0.2527,0.3240,0.3716,0.4943,0.6226,0.5669,0.5122,0.4678,0.4201,0.2561,0.2494,0.2563,0.2342,0.2016,0.1552,0.1016,0.0438,0.0117,0.0147,0.0487,0.1130,0.1435,0.1568,0.1086,0.1028,0.1313,0.1574,0.1693,0.2537,0.3118,0.2244,0.1885,0.1313,0.1196
s8,n11,0.2736,0.3142,0.3622,0.4092,0.3534,0.3919,0.3752,0.3482,0.3903,0.4623,0.4930,0.5569,0.5462,0.4173,0.4019,0.4519,0.5392,0.6572,0.8016,0.7341,0.7476,0.7405,0.6743,0.5462,0.5779,0.5799,0.6081,0.5166,0.3675,0.2613,0.1464,0.0830,0.1120,0.1678,0.2441,0.2776,0.1889,0.1190,0.1084,0.1196,0.1372,0.2065,0.3110,0.3296,0.2943,0.2155,0.1611,0.1981
s8,n12,0.2562,0.2568,0.2960,0.3152,0.2667,0.2450,0.2101,0.1874,0.1973,0.2117,0.2516,0.3503,0.4262,0.4295,0.4539,0.5942,0.6404,0.7385,0.7860,0.7291,0.7425,0.6962,0.4843,0.3800,0.4487,0.3648,0.4302,0.4042,0.3829,0.3696,0.2786,0.3070,0.3053,0.3110,0.3603,0.3038,0.4473,0.3887,0.3506,0.3451,0.3453,0.3475,0.5000,0.6446,0.5671,0.5683,0.4489,0.4804
s8,n13,0.2542,0.2613,0.2843,0.2895,0.2536,0.2191,0.1770,0.1468,0.1375,0.1466,0.1620,0.2263,0.2690,0.2130,0.2060,0.3255,0.4276,0.6020,0.7171,0.6698,0.7496,0.6749,0.5256,0.4066,0.4921,0.4424,0.5918,0.4939,0.4884,0.4702,0.4114,0.4306,0.4196,0.4056,0.4733,0.3534,0.3404,0.2544,0.2318,0.1990,0.2868,0.3723,0.5331,0.4880,0.4979,0.3868,0.2498,0.1698
s8,n14,0.2602,0.2705,0.3004,0.3000,0.2520,0.1942,0.1855,0.1572,0.1385,0.1761,0.2014,0.2744,0.2161,0.1809,0.1517,0.2101,0.2910,0.4352,0.5947,0.5645,0.5146,0.5051,0.4391,0.3008,0.3237,0.4064,0.3927,0.3851,0.3560,0.2473,0.1685,0.1151,0.1149,0.2014,0.3231,0.3318,0.3064,0.2185,0.1234,0.1660,0.2069,0.2314,0.3136,0.2849,0.2590,0.1771,0.1040,0.1104
s9,n1,0.2540,0.2427,0.2854,0.2945,0.2386,0.2213,0.1946,0.1977,0.2499,0.3057,0.3664,0.4550,0.4445,0.3708,0.4691,0.4227,0.4295,0.4636,0.4684,0.3843,0.3038,0.1720,0.0573,0.0436,0.0431,0.0621,0.0461,0.0301,0.0228,0.0100,0.0315,0.0065,0.0196,0.0618,0.2302,0.3358,0.3236,0.2792,0.1834,0.2456,0.2227,0.2740,0.1976,0.1937,0.1724,0.2120,0.1281,0.0357
s9,n2,0.2661,0.2993,0.3502,0.3521,0.3082,0.2547,0.2345,0.2117,0.2339,0.2935,0.2945,0.2933,0.2611,0.2727,0.2325,0.2704,0.3896,0.5505,0.6305,0.6988,0.6191,0.5032,0.2173,0.2144,0.2393,0.2546,0.2461,0.1887,0.1579,0.1089,0.1443,0.1293,0.2106,0.3454,0.3676,0.3184,0.3138,0.2819,0.2530,0.2376,0.3869,0.4307,0.6257,0.6230,0.5533,0.6096,0.4003,0.2788
s9,n3,0.2508,0.2478,0.2641,0.2686,0.2507,0.2139,0.1709,0.1400,0.1789,0.2463,0.2557,0.2239,0.2486,0.2218,0.2146,0.1868,0.1721,0.2125,0.1894,0.1687,0.1554,0.1535,0.0283,0.0103,0.0109,0.0115,0.0093,0.0092,0.0046,0.0006,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0000,0.0001,0.0001,0.0001,0.0012,0.0007,0.0008,0.0033,0.0029,0.0009
s9,n4,0.2628,0.2855,0.3129,0.3147,0.2832,0.2356,0.1917,0.2192,0.2326,0.3530,0.4237,0.4640,0.4412,0.4266,0.4290,0.4779,0.5100,0.5332,0.5245,0.4921,0.4556,0.4560,0.3037,0.1596,0.1887,0.2116,0.1259,0.1222,0.0942,0.0366,0.0263,0.0063,0.0075,0.0185,0.0162,0.0197,0.0236,0.0160,0.0263,0.0361,0.0820,0.0947,0.1817,0.0841,0.1034,0.1165,0.1040,0.0429
s9,n5,0.2586,0.2776,0.2887,0.2984,0.2438,0.2017,0.1766,0.1712,0.2107,0.3162,0.3330,0.3382,0.3291,0.2950,0.2986,0.3523,0.5158,0.5567,0.5966,0.6170,0.5624,0.4678,0.1634,0.1814,0.1859,0.1544,0.1492,0.1075,0.1361,0.0790,0.0575,0.0183,0.0359,0.0417,0.0547,0.0642,0.0962,0.0859,0.0544,0.0618,0.0717,0.0311,0.1069,0.1191,0.1167,0.1069,0.1101,0.0204
s9,n6,0.2554,0.2577,0.2831,0.2650,0.2285,0.2181,0.1578,0.2036,0.2865,0.4429,0.5373,0.5494,0.5190,0.4505,0.5128,0.5372,0.5889,0.5988,0.6328,0.5748,0.5134,0.3599,0.1579,0.1385,0.1643,0.2462,0.1631,0.0852,0.0952,0.1054,0.1809,0.0923,0.0957,0.2020,0.3258,0.3163,0.2873,0.1680,0.1444,0.2106,0.2049,0.1489,0.2393,0.2898,0.2271,0.1644,0.1258,0.0358
s9,n7,0.2665,0.2860,0.3082,0.2795,0.2426,0.2077,0.1886,0.2314,0.2356,0.4030,0.4543,0.5536,0.4981,0.4041,0.4649,0.5100,0.5687,0.6109,0.6644,0.5873,0.4217,0.4179,0.3335,0.2077,0.2523,0.2113,0.1799,0.1900,0.1314,0.0792,0.0256,0.0066,0.0058,0.0249,0.0193,0.0252,0.0184,0.0106,0.0070,0.0117,0.0090,0.0169,0.0558,0.0308,0.0578,0.0646,0.0551,0.0345
s9,n8,0.2589,0.2451,0.2669,0.2242,0.1732,0.1234,0.1004,0.1228,0.1495,0.2515,0.3512,0.4334,0.3875,0.3514,0.3857,0.4214,0.4695,0.5923,0.5936,0.5634,0.4923,0.4710,0.3634,0.2385,0.2606,0.2188,0.1960,0.1514,0.1228,0.1175,0.1117,0.0554,0.0176,0.0690,0.0500,0.0195,0.0102,0.0057,0.0074,0.0114,0.0079,0.0036,0.0180,0.0091,0.0047,0.0020,0.0012,0.0008
s9,n9,0.2543,0.2568,0.2703,0.2481,0.2073,0.1652,0.1228,0.1156,0.1501,0.2534,0.3800,0.4052,0.4259,0.4225,0.3866,0.4209,0.4779,0.5719,0.6390,0.5778,0.4687,0.3962,0.2644,0.2082,0.1883,0.1311,0.1338,0.1244,0.1522,0.1336,0.1262,0.0889,0.0399,0.1124,0.1465,0.0754,0.0776,0.0570,0.0481,0.0859,0.0613,0.0382,0.0778,0.1352,0.0873,0.0345,0.0166,0.0041
s9,n10,0.2568,0.2700,0.2965,0.2932,0.2474,0.2358,0.1649,0.1712,0.2281,0.3151,0.4327,0.4391,0.4540,0.3571,0.3819,0.3676,0.4308,0.5168,0.5413,0.5334,0.4160,0.3691,0.2750,0.2929,0.3123,0.2209,0.2619,0.2368,0.2154,0.1618,0.1193,0.1448,0.1067,0.3002,0.4654,0.3771,0.2225,0.2169,0.2252,0.2663,0.1819,0.0874,0.1111,0.1168,0.0669,0.0620,0.0209,0.0153
s9,n11,0.2516,0.2463,0.2717,0.2589,0.1921,0.1814,0.1224,0.1166,0.1650,0.2672,0.3800,0.4523,0.4777,0.3624,0.4097,0.3975,0.4514,0.5155,0.5985,0.5403,0.4273,0.3712,0.2656,0.2205,0.1891,0.1899,0.2660,0.2519,0.2612,0.2343,0.2122,0.1514,0.1617,0.2818,0.5686,0.5078,0.4275,0.2984,0.2125,0.2380,0.2906,0.1055,0.1276,0.1260,0.0862,0.0754,0.0253,0.0131
s9,n12,0.2673,0.2900,0.3536,0.3827,0.3409,0.3278,0.2700,0.2204,0.2864,0.4179,0.4907,0.4833,0.4630,0.3272,0.3191,0.2864,0.3284,0.4120,0.4047,0.4498,0.3198,0.1681,0.0896,0.0812,0.0834,0.1229,0.2286,0.1238,0.1575,0.1528,0.1177,0.1943,0.2623,0.3634,0.6734,0.7013,0.7223,0.5218,0.3998,0.4604,0.6009,0.4764,0.4403,0.5022,0.4325,0.1694,0.0865,0.1010
s9,n13,0.2476,0.2296,0.2511,0.2344,0.2009,0.1739,0.1174,0.1361,0.1738,0.2060,0.3007,0.3397,0.3416,0.2874,0.3376,0.3066,0.3234,0.2907,0.3992,0.4553,0.3340,0.2215,0.1087,0.0740,0.0725,0.1041,0.1907,0.1256,0.1859,0.2812,0.1342,0.0565,0.1093,0.2679,0.5597,0.6567,0.5925,0.4682,0.4447,0.5212,0.6149,0.4937,0.4974,0.5417,0.5878,0.3867,0.2496,0.2185
s9,n14,0.2495,0.2463,0.2681,0.2447,0.1936,0.1717,0.1317,0.1609,0.1871,0.2729,0.3981,0.4163,0.3763,0.3103,0.3060,0.2970,0.3390,0.3732,0.3237,0.3472,0.2811,0.1829,0.1466,0.1304,0.1190,0.0992,0.1138,0.0914,0.0781,0.0819,0.0757,0.0845,0.0616,0.2408,0.4243,0.5378,0.3700,0.2797,0.3518,0.4233,0.4431,0.2599,0.3480,0.3936,0.2944,0.3149,0.1831,0.1408
