major,minor,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47
s5,n7,0.2658,0.2777,0.3057,0.2996,0.2873,0.2405,0.1462,0.1665,0.1778,0.2223,0.2190,0.2548,0.2729,0.2036,0.1495,0.2415,0.2651,0.3527,0.3577,0.3997,0.3148,0.2752,0.2864,0.1435,0.1644,0.1864,0.1595,0.1707,0.0830,0.0502,0.0488,0.0337,0.0309,0.0807,0.1850,0.2368,0.3594,0.2087,0.2366,0.1681,0.2386,0.2504,0.2623,0.2648,0.2543,0.1169,0.0616,0.0242
s5,n8,0.2616,0.2622,0.2821,0.2827,0.2764,0.2172,0.1516,0.1969,0.2415,0.3220,0.3731,0.4108,0.4313,0.4183,0.3159,0.3535,0.3937,0.4881,0.5001,0.5001,0.4492,0.3653,0.3693,0.2859,0.3008,0.2985,0.2161,0.2431,0.1165,0.0609,0.0783,0.0585,0.0891,0.2046,0.3105,0.3639,0.5078,0.3948,0.4060,0.2929,0.2664,0.4018,0.4597,0.4849,0.4774,0.2611,0.1785,0.0794
s5,n9,0.2559,0.2423,0.2441,0.2484,0.2360,0.1951,0.1783,0.2114,0.2481,0.3380,0.3533,0.3716,0.3520,0.3650,0.2205,0.2473,0.2891,0.4234,0.3707,0.3801,0.3203,0.2614,0.2004,0.1522,0.1842,0.1367,0.0891,0.1838,0.0820,0.0327,0.0259,0.0128,0.0127,0.0482,0.1568,0.1414,0.2586,0.2419,0.1723,0.1346,0.0950,0.1619,0.2043,0.1923,0.1514,0.0470,0.0279,0.0094
s5,n10,0.2585,0.2660,0.2640,0.2444,0.2487,0.2110,0.2076,0.2249,0.2768,0.3328,0.3325,0.3667,0.3797,0.3984,0.2671,0.2992,0.3025,0.4295,0.4399,0.4591,0.4024,0.2627,0.1940,0.1344,0.1798,0.0893,0.0833,0.1454,0.0766,0.0386,0.0280,0.0058,0.0060,0.0138,0.0142,0.0177,0.0197,0.0173,0.0259,0.0287,0.1136,0.1371,0.1674,0.1548,0.1765,0.1577,0.1127,0.0762
s5,n11,0.2752,0.3233,0.3549,0.3458,0.3534,0.3277,0.3841,0.5026,0.5173,0.5556,0.5874,0.6145,0.6307,0.6052,0.5356,0.5377,0.5077,0.5889,0.5129,0.5606,0.5284,0.4540,0.3982,0.3656,0.3460,0.2358,0.1972,0.2548,0.2149,0.1453,0.1513,0.0339,0.0329,0.0825,0.0946,0.0919,0.0975,0.0560,0.0694,0.1143,0.1695,0.2289,0.1703,0.2272,0.3147,0.1692,0.1352,0.1013
s5,n12,0.2516,0.2480,0.2631,0.2732,0.2976,0.3336,0.3155,0.3836,0.4271,0.5000,0.5859,0.6271,0.6795,0.6905,0.5867,0.5792,0.6166,0.6412,0.6429,0.7164,0.6138,0.5256,0.3681,0.3296,0.3530,0.2570,0.2429,0.2739,0.1693,0.0869,0.0545,0.0062,0.0174,0.0289,0.0596,0.0554,0.0970,0.0661,0.0560,0.0407,0.0467,0.1005,0.0952,0.1685,0.1723,0.1031,0.1431,0.1048
s5,n13,0.2558,0.2534,0.2930,0.3147,0.3488,0.3552,0.3065,0.3590,0.4128,0.4799,0.6353,0.6786,0.6804,0.6790,0.5940,0.6101,0.6382,0.7194,0.7186,0.8305,0.7786,0.5945,0.4352,0.3556,0.3769,0.3220,0.3072,0.3022,0.2017,0.0963,0.0539,0.0100,0.0165,0.0469,0.1561,0.1628,0.2286,0.1805,0.2485,0.2412,0.1992,0.2115,0.2667,0.3058,0.3390,0.2631,0.2883,0.3719
s5,n14,0.2583,0.2596,0.2615,0.2485,0.2790,0.2495,0.2475,0.2413,0.2797,0.2922,0.3437,0.4094,0.4011,0.3651,0.2072,0.2494,0.2716,0.3891,0.3863,0.4165,0.3119,0.2398,0.1441,0.1152,0.1569,0.0717,0.0944,0.1648,0.1218,0.0618,0.0464,0.0207,0.0211,0.0327,0.0545,0.0522,0.1032,0.1032,0.1283,0.0800,0.1444,0.1164,0.1203,0.0669,0.1174,0.1410,0.0703,0.0737
s6,n1,0.2621,0.2761,0.3036,0.3291,0.2598,0.2016,0.1589,0.1361,0.1575,0.2241,0.3782,0.4393,0.4078,0.5365,0.4083,0.4021,0.3772,0.4234,0.4516,0.4513,0.5658,0.4270,0.3403,0.2218,0.1886,0.2660,0.2677,0.2006,0.1347,0.0858,0.0234,0.0469,0.0453,0.0521,0.0918,0.1210,0.0486,0.0411,0.0334,0.0285,0.0586,0.1242,0.1896,0.2230,0.1147,0.0929,0.1275,0.0782
s6,n2,0.2738,0.3153,0.3474,0.3737,0.3095,0.2673,0.2350,0.2287,0.2503,0.3843,0.5324,0.6101,0.5483,0.5970,0.5265,0.5076,0.5528,0.6128,0.6238,0.5978,0.6137,0.5389,0.4052,0.3850,0.3210,0.3879,0.5828,0.6050,0.6590,0.5136,0.3704,0.5557,0.6165,0.5418,0.4880,0.5903,0.6737,0.6505,0.6206,0.6239,0.6145,0.7140,0.5968,0.5900,0.5515,0.4038,0.3782,0.3868
s6,n3,0.2573,0.2671,0.2777,0.2641,0.2331,0.1668,0.1259,0.1274,0.1549,0.2246,0.3369,0.4500,0.4669,0.4566,0.4463,0.5070,0.4468,0.5038,0.5155,0.5300,0.5059,0.3636,0.2747,0.1370,0.1319,0.2045,0.1577,0.1254,0.1199,0.1074,0.1255,0.2362,0.1464,0.2234,0.4105,0.4919,0.4931,0.5035,0.5744,0.5516,0.5297,0.4006,0.4395,0.3574,0.3802,0.1923,0.1238,0.1005
s6,n4,0.2529,0.2438,0.2437,0.2606,0.2256,0.1553,0.1094,0.0779,0.0860,0.1804,0.2559,0.4089,0.4642,0.4766,0.3836,0.3488,0.3618,0.5011,0.4707,0.4444,0.4597,0.3192,0.2323,0.1954,0.2378,0.2225,0.1595,0.1723,0.1356,0.0979,0.0714,0.1552,0.1446,0.2883,0.4266,0.6801,0.6378,0.6676,0.5630,0.5612,0.5684,0.4146,0.4091,0.4587,0.4385,0.2687,0.1422,0.1023
s6,n5,0.2449,0.2282,0.2260,0.2351,0.1745,0.1121,0.0835,0.0897,0.0928,0.1515,0.2644,0.3960,0.3844,0.4888,0.4782,0.5009,0.5084,0.5462,0.5588,0.5732,0.6658,0.6466,0.5140,0.3880,0.3807,0.4200,0.4628,0.4000,0.3433,0.2399,0.1527,0.1972,0.3622,0.4602,0.4825,0.6028,0.5453,0.5014,0.3465,0.3389,0.4098,0.3726,0.3242,0.4273,0.3991,0.1704,0.1636,0.1976
